,City,Date,Country,Latitude,Longitude,Max Temperature,Humidity,Clouds,Wind
0,butaritari,1626824170,KI,3.0707,172.7902,82.63,74,69,8.05
1,longyearbyen,1626823901,SJ,78.2186,15.6401,39.04,81,75,3.44
2,rikitea,1626824171,PF,-23.1203,-134.9692,71.87,61,98,22.95
3,georgetown,1626824161,MY,5.4112,100.3354,79.9,87,20,1.99
4,kapaa,1626824171,US,22.0752,-159.319,84.18,75,75,5.01
5,vaini,1626824172,TO,-21.2,-175.2,78.96,89,40,9.22
6,bredasdorp,1626824172,ZA,-34.5322,20.0403,43.92,81,18,10.36
7,albany,1626824003,US,42.6001,-73.9662,80.47,85,40,5.32
8,kangalassy,1626824172,RU,62.3464,129.9628,64.33,80,100,4.29
9,saint-philippe,1626824173,RE,-21.3585,55.7679,69.39,77,64,12.75
10,east london,1626824173,ZA,-33.0153,27.9116,55.74,74,100,22.41
11,ilulissat,1626824173,GL,69.2167,-51.1,51.82,50,63,11.5
12,barrow,1626824171,US,71.2906,-156.7887,37.42,93,90,17.27
13,puerto ayora,1626824174,EC,-0.7393,-90.3518,71.55,97,92,8.01
14,hobart,1626824000,AU,-42.8794,147.3294,50.11,77,20,4.0
15,tuktoyaktuk,1626824174,CA,69.4541,-133.0374,78.8,41,1,17.27
16,port elizabeth,1626824175,ZA,-33.918,25.5701,50.29,87,90,19.57
17,zhigansk,1626824175,RU,66.7697,123.3711,61.3,58,98,16.91
18,avarua,1626824176,CK,-21.2078,-159.775,80.65,83,75,17.27
19,solnechnyy,1626824176,RU,50.7214,136.6319,81.77,56,100,4.34
20,husavik,1626824176,IS,66.0449,-17.3389,66.11,88,7,2.71
21,sao joao da barra,1626824177,BR,-21.6403,-41.0511,63.82,70,91,8.88
22,luderitz,1626824177,NA,-26.6481,15.1594,52.11,62,0,22.93
23,busselton,1626824177,AU,-33.65,115.3333,52.09,91,100,11.3
24,acapulco,1626823974,MX,16.8634,-99.8901,85.82,74,75,9.22
25,nemuro,1626824178,JP,43.3236,145.575,60.55,94,98,7.43
26,mataura,1626824178,NZ,-46.1927,168.8643,44.47,82,97,2.95
27,torbay,1626824179,CA,47.6666,-52.7314,70.57,95,90,14.97
28,lazo,1626824179,RU,43.3817,133.9014,84.25,63,44,1.36
29,cape town,1626824127,ZA,-33.9258,18.4232,49.12,91,40,1.01
30,khatanga,1626824180,RU,71.9667,102.5,59.2,74,100,10.36
31,qena,1626824180,EG,26.1615,32.7183,96.91,22,7,9.69
